,Oil_store,주소,가격,셀프,상표,구
401,대원주유소,서울 광진구 용마산로 122 (중곡동),1529.0,N,S-OIL,광진구
402,(주)장수주유소,서울 광진구 동일로 266 (군자동),1535.0,N,SK에너지,광진구
403,현대오일뱅크(주)중원주유소,서울 광진구 동일로 398 (중곡동),1539.0,N,현대오일뱅크,광진구
404,일진주유소,서울특별시 광진구  동일로 413 (중곡동),1539.0,N,S-OIL,광진구
405,현대오일뱅크(주)직영중곡현대주유소,서울특별시 광진구 동일로 435 (중곡동),1539.0,N,현대오일뱅크,광진구
406,대성산업(주)구의주유소,서울 광진구 광나루로 570 (구의동),1548.0,N,GS칼텍스,광진구
407,대명주유소,서울 광진구 광나루로 460 (화양동),1573.0,Y,SK에너지,광진구
408,자양주유소,서울 광진구 아차산로 298 (자양동),1598.0,N,SK에너지,광진구
409,삼호주유소,서울 광진구 천호대로 809 (광장동),1598.0,N,S-OIL,광진구
410,강평주유소,서울 광진구 아차산로 616 (광장동),1598.0,N,SK에너지,광진구
411,구의스타주유소,서울특별시 광진구 자양로 103 (자양동),1619.0,N,GS칼텍스,광진구
412,동서울주유소,서울 광진구 강변역로 10 (구의동),1629.0,N,GS칼텍스,광진구
413,SK장호셀프주유소,서울특별시 광진구  자양로37 (자양동),1634.0,Y,SK에너지,광진구
414,성일주유소,서울 광진구 동일로 50 (자양동),1675.0,N,SK에너지,광진구
415,풀페이주유소,서울특별시 구로구 경인로 41 (온수동),1499.0,N,SK에너지,구로구
416,(주)유티에너지직영유티에너지,서울특별시 구로구  시흥대로 539 (구로동),1517.0,N,알뜰주유소,구로구
417, 현대오일뱅크㈜ 직영 구로셀프주유소,서울특별시 구로구  시흥대로 531 (구로동),1519.0,Y,현대오일뱅크,구로구
418,처음처럼주유소,서울 구로구 오리로 1299 (궁동),1519.0,N,S-OIL,구로구
419,항동주유소,서울특별시 구로구 서해안로 2154 (항동),1528.0,Y,S-OIL,구로구
420,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1528.0,Y,GS칼텍스,구로구
421,신오류,서울 구로구 경인로 161 (오류동),1529.0,N,SK에너지,구로구
422,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1548.0,N,GS칼텍스,구로구
423,영진주유소,서울특별시 구로구  구로동로 20 (가리봉동),1558.0,N,S-OIL,구로구
424,신성주유소,서울특별시 구로구  구로동로 187 (구로동),1568.0,Y,SK에너지,구로구
425,구로시몬주유소,서울 구로구 경인로 290 (개봉동),1577.0,N,S-OIL,구로구
426,동선주유소,서울 구로구 경인로 150 (오류동),1577.0,N,GS칼텍스,구로구
427,정은주유소,서울 구로구 경인로 407 (고척동),1577.0,N,현대오일뱅크,구로구
428,SK구로주유소,서울 구로구 구일로 94 (구로동),1578.0,N,SK에너지,구로구
429,(주)근린공원주유소,서울 구로구 고척로 199 (고척동),1595.0,N,S-OIL,구로구
430,개봉셀프주유소,서울특별시 구로구  고척로 115 (개봉동),1595.0,Y,현대오일뱅크,구로구
431,삼한주유소,서울특별시 구로구 부일로 871 (온수동),1598.0,N,S-OIL,구로구
432,(주)새서울석유대원셀프주유소,서울 구로구 개봉로 7 (개봉동),1638.0,Y,SK에너지,구로구
433,현대오일뱅크(주)직영신구로주유소,서울특별시 구로구  가마산로 293 (구로동),1669.0,N,현대오일뱅크,구로구
434,(주)유공 구인주유소,서울특별시 구로구 경인로 558  (구로동),1697.0,N,SK에너지,구로구
435,동아주유소,서울특별시 구로구  도림로 91 (구로동),1699.0,N,S-OIL,구로구
436,구로주유소,서울특별시 구로구  구로동로 137 (구로동),2026.0,N,GS칼텍스,구로구
437,대득에너지(금천셀프주유소),서울특별시 금천구  시흥대로 81 (시흥동),1515.0,Y,GS칼텍스,금천구
438,명보주유소,서울 금천구 시흥대로 377 (독산동),1517.0,N,알뜰주유소,금천구
439,(주)태영유업 독산고개,서울특별시 금천구 시흥대로 484 (독산동),1527.0,Y,현대오일뱅크,금천구
440,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1528.0,Y,S-OIL,금천구
